move,көшу
opponent,қарсылас
abandon,бас тарту
link,байланыс
mass,масса
lake,көл
transform,түрлендіру
tension,шиеленіс
display,көрсету
leading,жетекші
bother,мазалау
consist,тұрады
alcohol,алкоголь
enable,мүмкіндік
bend,ию
saving,үнемдеу
desert,шөл
shall,міндетті
error,қателік
release,босату
double,қос
walk,жүру
sand,құм
rule,ереже
print,басу
preserve,сақтау
passage,өту
formal,ресми
transition,көшу
existence,тіршілік
participation,қатысу
arrange,орналастыру
joint,буын
reply,жауап
cycle,цикл
opposite,қарама-қарсы
lock,құлыптау
whole,бүтін
deserve,лайық
consistent,жүйелі
resistance,қарсыласу
discovery,жаңалық
tear,жыртылу
exposure,әшкерелеу
pose,қалып
stream,ағыны
sale,сату
trust,сенім
benefit,пайда
pot,құмыра
mine,менікі
coalition,одақ
tale,әңгіме
knife,пышақ
resolve,шешу
racial,нәсілдік
phase,фаза
present,қазіргі
joke,әзіл-қалжың
coat,пальто
symptom,белгі
contact,байланыс
manufacturer,өндіруші
philosophy,философия
potato,ақтүйнек
interview,сұхбат
foundation,іргетас
quote,цитата
online,желіде
pass,өту
negotiation,келіссөз
good,жақсы
urge,көндіру
occasion,себеп
dust,шаң
breathe,тыныс
elect,сайлау
investigator,тергеуші
jacket,пиджак
glad,қуанышты
ordinary,әдеттегі
reduction,азаю
rarely,сирек
shift,ауысым
pack,орау
suicide,өзіне өзі қол жұмсау
numerous,көптеген
touch,жанасу
substance,зат
discipline,пән
elsewhere,басқа жерде
iron,темір
practical,іс жүзінде
moreover,сонымен қатар
passion,құмарлық
volunteer,волонтер
implement,орындау
enforcement,қорғау
sauce,тұздық
independence,тәуелсіздік
marketing,маркетинг
priest,дін қызметкері
amazing,тамаша
intense,күшті
advance,аванстық
employee,қызметкер
shock,шок
inspire,шабыттандыру
adjust,бейімделу
sure,әрине
visible,көрінетін
kiss,сүйіс
illness,ауру
cap,қақпақ
habit,әдет
competitive,бәсекеге қабілетті
juice,шырын
involvement,тарту
dominate,басым
previously,бұрын
transfer,ауыстыру
analyze,талдау
another,басқа
attach,тіркеу
for,үшін
Indian,Үнді
disaster,апат
parking,көлік тұрағы
prospect,перспектива
boss,бастық
complaint,шағым
championship,чемпионат
coach,жаттықтырушы
exercise,жаттығу
fundamental,негізгі
severe,қатаң
enhance,арттыру
mystery,құпия
poverty,кедейлік
other,басқа
entry,кіру
fat,май
spending,шығыстар
king,патша
evaluate,бағалау
symbol,символ
still,қимылсыз
trade,сауда
mood,көңіл-күй
accomplish,орындау
emphasis,екпін
illustrate,суреттейді
boot,етік
monitor,монитор
entertainment,көңіл көтеру
bean,бұршақ
evaluation,бағалау
creature,жарату
commander,командир
digital,сандық
arrangement,ұйымдастыру
concentrate,шоғырлану
total,жалпы
usual,әдеттегі
anger,ашу
heavily,қатты
peak,шың
approximately,шамамен
increasing,арттыру
disorder,тәртіпсіздік
missile,снаряд
equally,бірдей
vary,өзгерту
wire,сым
round,дөңгелек
holy,қасиетті
ring,жүзік
twin,егіз
command,бұйрық
commission,комиссия
interpretation,түсінік беру
breakfast,таңғы ас
strongly,қатты
engineering,инженерлік
luck,бақыт
so-called,деп аталатын
constant,тұрақты
race,нәсіл
clinic,клиника
veteran,ардагер
smell,иіс
tablespoon,ас қасық
capable,қабілетті
nervous,жүйке
tourist,турист
light,жарық
toss,мақтыру
crucial,шешуші
bury,жерлеу
pray,сыйыну
tomato,қызанақ
exception,ерекшелік
butter,сары май
deficit,тапшылық
bathroom,жуынатын бөлме
objective,объективті
block,блок
electronic,электрондық
ally,одақтас
journey,саяхат
reputation,абырой
mixture,қоспа
surely,Күдіксіз
tower,мұнара
smoke,түтін
confront,бетпе-бет келу
pure,таза
glance,көз тастау
dimension,өлшем
toy,ойыншық
prisoner,тұтқын
fellow,сенімдегі
smooth,тегіс
nearby,жақын
peer,құрдас
shape,кескін
educator,ағартушы
relative,туыс
immigration,қоныс аудару
belt,белдік
teaspoon,шәй қасық
birthday,туған күні
perfectly,мінсіз
coast,жаға
supporter,жақтаушы
accompany,алып жүру
silver,күміс
teenager,жасөспірім
recognition,тану
retirement,зейнеткерлік
flag,жалау
recovery,қалпына келтіру
whisper,сыбыр
watch,сағат
corn,дән
moon,ай
inner,ішкі
junior,кіші
rather,тезірек
throat,көмей
salary,жалақы
swing,тербелу
observer,бақылаушы
due,байланысты
straight,Түзу
publication,басылым
pretty,әдемі
crop,өнім
dig,қазып алу
strike,ереуіл
permanent,тұрақты
plant,зауыт
phenomenon,құбылыс
anxiety,мазасыздану
wet,дымқыл
literally,әдеби
resist,қарсы тұру
embrace,қамту
supply,жабдықтау
assist,көмектесу
exhibition,көрме
construct,салу
viewer,көрермен
pan,кастрюля
consultant,кеңесші
soon,тез
line,түзу
administrator,әкімші
date,дата
occasionally,анда-санда
mayor,әкім
consideration,қарастыру
secure,қауіпсіз
pink,қызғылт
smoke,түтін
estimate,бағалау
historic,тарихи
poem,өлең
grandmother,әже
bind,буу
constantly,үнемі
enterprise,кәсіпорын
testing,тестілеу
stomach,асқазан
apparent,анық
weigh,өлшеу
install,орнату
sensitive,сезімтал
suggestion,ұсыныс
recipe,рецепт
reasonable,ақылға қонымды
preparation,дайындау
wooden,ағаш
elementary,бастауыш
concert,концерт
aggressive,басқыншылық
false,жалған
intention,ниет
channel,арна
extreme,төтенше
tube,түтік
drawing,сурет
protein,ақуыз
quit,тастау
absence,болмауы
roll,орам
rapidly,тез
jail,түрме
diversity,әртүрлілік
honest,адал
pace,қарқын
employment,жұмыс
impression,әсер
essay,шығарма
respondent,жауапкер
giant,алып
cake,торт
historian,тарихшы
negotiate,келіссөз жүргізу
restore,қалпына келтіру
substantial,елеулі
particular,ерекше
specialist,маман
origin,тегі
approval,мақұлдау
mine,менікі
quietly,тыныш
advise,ақыл беру
conventional,дәстүрлі
drop,тастау
count,санау
depth,тереңдік
wealth,байлық
disability,мүгедектік
general,жалпы
criticize,сынау
fast,жылдам
professional,кәсіби
effectively,тиімді
biological,биологиялық
pack,орау
onion,пияз
deputy,орынбасары
flat,жазық
brand,бренд
assure,сендіру
mad,жынды
award,марапаттау
dealer,дилер
via,арқылы
alternative,балама
utility,коммуналдық
precisely,дәл
arise,пайда
armed,қаруланған
highway,магистраль
clinical,клиникалық
routine,жоспарлы
schedule,кесте
wage,жалақы
normally,қалыпты
phrase,сөйлем
stake,үлес
fiber,талшық
activist,белсенді
snap,кезектен тыс
refugee,босқын
incorporate,енгізу
hip,сан
ultimate,соңғы
switch,қосқыш
corporation,корпорация
valuable,бағалы
assumption,жорамал
gear,жылдамдық
graduate,түлек
barrier,бөгет
provision,ереже
killer,өлтіруші
assign,тағайындау
gang,банда
developing,дамушы
classic,классикалық
chemical,химиялық
wave,толқын
label,заттаңба
teen,жасөспірім
index,көрсеткіш
vacation,демалыс
advocate,қорғау
draft,жоба
extraordinary,ерекше
heaven,аспан
rough,дөрекі
yell,айқайлау
pregnant,жүкті
distant,алыс
drama,драма
satellite,серік
personally,жеке
wonder,керемет
clock,сағат
ceiling,төбе
sweep,сыпыру
advertising,жарнама
universal,әмбебап
spin,айналдыру
house,үй
button,түйме
bell,қоңырау
rank,дәреже
darkness,қараңғыл
ahead,алда
clothing,киім
super,тамаша
yield,түсімділік
fence,дуал
paint,бояу
survival,тірі қалу
roughly,шамамен
lawsuit,процесс
bottom,түп
testimony,куәлік
bunch,байламы
beat,ұрыс
wind,жел
found,табылған
burden,ауыртпалығы
react,жауап
chamber,палата
furniture,жиһаз
cooperation,ынтымақтастық
string,жіп
ceremony,рәсім
communicate,қарым-қатынас
taste,дәм
cheek,бет
lost,жоғалған
mechanism,механизм
disagree,келіспеу
like,сияқты
penalty,айыппұл
resort,курорт
destruction,жою
bear,аю
unlikely,екіталай
tissue,майлық
stranger,бейтаныс
infection,инфекция
cabinet,шкаф
broken,сынған
apple,алма
proceed,жалғастыру
track,жол
literary,әдеби
stupid,ақымақ
dispute,дау
fortune,байлық
overcome,еңсеру
remarkable,тамаша
occupy,алып
shopping,сауда
encounter,кездесу
wipe,сүрту
initially,басында
blind,соқыр
white,ақ
port,порт
honor,ар
adviser,кеңесші
pay,төлеу
spokesman,өкілі
retain,ұстау
latter,соңғы
incentive,ынталандыру
slave,құл
translate,аудару
accurate,дәл
terror,қорқыныш
expansion,кеңею
dirt,балшық
odd,тақ
rice,күріш
bullet,оқ
tight,тығыз
chart,кесте
solar,күн
decline,құлдырау
process,процесс
square,шаршы
stick,таяқ
complicated,күрделі
gently,жұмсақ
reflection,шағылу
revolution,көтеріліс
strip,жолақ
interpret,аудару
friendly,жылы шырайлы
tournament,турнир
fiction,фантастика
detect,табу
balance,баланс
likely,мүмкін
tremendous,орасан зор
lifetime,өмір кезеңі
recommendation,ұсыныс
flow,ағын
market,базар
hunting,аңшылық
guarantee,кепілдік
innocent,адал
boundary,шекара
pause,кідірту
remote,алыстағы
satisfaction,қанағат
journal,журнал
bench,орындық
lover,әуесқой
raw,шикі
awareness,сана
surprising,таң-қаларлық
withdraw,алып тастау
general,жалпы
deck,палуба
similarly,сол сияқты
newly,жаңадан
pole,полюс
testify,куәландыру
mode,режим
dialogue,диалог
imply,тұспалдау
naturally,әрине
mutual,өзара
founder,негізін салушы
top,төбе
advanced,озат
pride,мақтаныш
dismiss,жұмыстан босату
aircraft,ұшақ
delivery,жеткізілім
mainly,негізінен
bake,пісірілу
freeze,тоңу
platform,платформа
finance,қаржы
sink,бату
attractive,тартымды
respect,құрмет
diverse,әр түрлі
relevant,орынды
ideal,тамаша
joy,қуаныш
worth,құны
regularly,жүйелі түрде
working,жұмыс
singer,әнші
evolve,даму
shooting,ату
partly,ішінара
unknown,белгісіз
assistant,ассистент
offense,қылмыс
counter,қарсы
smell,иіс
potentially,ықтимал
transfer,ауыстыру
thirty,отыз
justify,ақтау
protest,наразылық
crash,апат
craft,қолөнер
treaty,шарт
insight,көрегендік
possess,ие болу
politically,саяси
tap,кран
lie,өтірік
extensive,кең
episode,эпизод
double,қос
swim,жүзу
tire,шина
fault,кемшілік
loose,бос
free,Тегін
shortly,қысқаша
originally,алғаш
considerable,елеулі
prior,бұрынғы
intellectual,зияткерлік
mix,араластыру
assault,шабуыл
relax,босаңсу
stair,баспалдақ
adventure,оқиға
external,сыртқы
proof,дәлел
confident,сенімді
headquarters,штаб
sudden,кенет
dirty,лас
violation,бұзу
tongue,тіл
license,лицензия
hold,ұстау
shelter,баспана
rub,руб
controversy,дау
entrance,кіру
favorite,сүйікті
practice,практика
properly,дұрыс
fade,солу
defensive,қорғаныс
tragedy,трагедия
net,тор
characterize,сипаттау
funeral,жерлеу
profession,мамандық
alter,өзгерту
spot,дақ
constitute,құрайды
establishment,мекеме
squeeze,қысу
imagination,қиял
target,нысана
mask,маска
convert,түрлендіру
comprehensive,кешенді
prominent,көрнекті
presentation,таныстыру
regardless,қарамастан
easy,оңай
load,жүк
stable,тұрақты
introduction,кіріспе
appeal,апелляциялық
pretend,әдейі істеу
not,емес
elderly,егде
representation,көрсету
deer,бұғы
split,Сызат
violate,бұзу
partnership,серіктестік
pollution,ластау
emission,сәулелену
steady,тұрақты
vital,жанды
neither,де
fate,тағдыр
earnings,пайда
oven,пеш
distinction,айырма
segment,сегмент
nowhere,ешқайда
poet,ақын
mere,қарапайым
exciting,толқытатын
variation,өзгерту
comfort,жайлылық
radical,түбегейлі
stress,стресс
adapt,бейімделу
honey,бал
correspondent,тілші
pale,бозарған
musician,музыкант
significance,маңыз
load,жүк
round,дөңгелек
vessel,кеме
storage,сақтау
flee,жүгіру
leather,былғары
distribute,бөлу
evolution,эволюция
ill,ауру
tribe,тайпа
shelf,сөре
can,болады
grandfather,ата
lawn,көгал
buyer,сатып алушы
dining,асхана
wisdom,даналық
council,кеңес
vulnerable,осал
instance,дана
garlic,сарымсақ
capability,қабілеттілік
poetry,поэзия
celebrity,атақты
gradually,біртіндеп
stability,тұрақтылық
doubt,күмән
fantasy,қиял
scared,қорқып қалған
guide,гид
plot,сюжет
framework,құрастырылым
gesture,ым
depending,байланысты
ongoing,тұрақты
psychology,психология
since,содан бері
counselor,кеңесші
witness,куәгер
chapter,бөлім
fellow,дос
divorce,ажырасу
pipe,құбыр
athletic,спорт
slight,шамалы
math,математика
shade,көлеңке
tail,құйрық
sustain,қолдау
mount,аспаның
obligation,міндеттеме
angle,бұрыш
palm,алақан
differ,өзгеше
custom,әдет
store,қойма
economist,экономист
fifteen,он бес
soup,көже
celebration,мейрам
efficient,нәтижелі
damage,залал
composition,құрам
satisfy,қанағаттандыру
pile,баған
briefly,қысқаша
carbon,көміртегі
closer,жақын
consume,тұтыну
scheme,схема
crack,сызат
frequency,жиілік
tobacco,темекі
survivor,аман қалған
besides,одан басқа
wealthy,бай
galaxy,галактика
given,берілген
fund,қор
ski,шаңғы
limitation,шектеу
trace,ізі
appointment,тағайындау
preference,артықшылықты
meter,метр
explosion,жарылыс
arrest,тұтқындау
publicly,жария
incredible,таң қалдыратын
fighter,жойғыш
rapid,жылдам
admission,кіру
hunter,аңшы
educate,білім беру
painful,ауыртатын
friendship,достық
aide,көмекші
infant,нәресте
calculate,есептеп шығару
fifty,елу
rid,құтылу
porch,кіре беріс
tendency,үрдіс
uniform,форма
formation,қалыптастыру
scholarship,стипендия
reservation,резервация
efficiency,тиімділік
waste,жарату
qualify,жіктеле
derive,алып шығу
scandal,жанжал
helpful,пайдалы
impress,әсер ету
heel,өкше
resemble,ұқсау
privacy,құпиялылық
fabric,мата
surprise,тосын
contest,конкурс
proportion,пропорция
guideline,бағдары
rifle,винтовка
maintenance,ұстау
conviction,соттау
trick,қулық
organic,органикалық
tent,шатыр
examination,емтихан
publisher,баспагер
strengthen,күшейту
proposed,ұсынылған
myth,миф
sophisticated,талғампаз
cow,сиыр
etc,тағы басқа
asleep,ұйықтау
tennis,теннис
nerve,жүйке
barrel,бөшке
membership,мүшелік
ratio,қатынасы
menu,мәзір
purchase,сатып алу
controversial,даулы
desperate,үмітсіз
rate,ставка
lifestyle,өмір салты
humor,әзіл
loud,қатты
glove,қолғап
suspect,күдікті
sufficient,жеткілікті
narrative,әңгімелеу
helicopter,тікұшақ
modest,қарапайым
provider,провайдері
delay,кешіктіру
agricultural,ауыл шаруашылығы
explode,жарылу
stroke,инсульт
scope,көлем
punishment,жаза
handful,уыс
badly,нашар
horizon,көкжиек
curious,әуес
downtown,қала орталығы
girlfriend,дос қыз
prompt,шұғыл
request,өтініш
absorb,жұту
adjustment,реттеу
taxpayer,салық төлеуші
eager,ынталы
principal,басты
detailed,егжей-тегжейлі
motivation,дәлелдеу
assignment,тапсырма
restriction,шектеу
across,арқылы
laboratory,зертхана
workshop,шеберхана
differently,басқаша
romantic,романтикалық
cotton,мақта
motor,мотор
sue,сотқа беру
flavor,дәм
overlook,жоғарыдан қарау
float,жүзу
undergo,ұшырау
sequence,жүйе
demonstration,демонстрация
jet,реактивті қозғалтқыш
orange,апельсин
consumption,тұтыну
assert,бекіту
blade,жүзі
temporary,уақытша
medication,ем
print,басу
cabin,кабина
bite,тістеу
relative,туыс
edition,басылым
valley,аңғар
pitch,ұсыну
pine,қарағай
brilliant,тамаша
versus,қарсы
manufacture,өндіріс
complex,күрделі
absolute,абсолютті
chef,бас аспазшы
offensive,ренішті
suit,костюм
register,тіркеу
appoint,тағайындау
heritage,мұра
dominant,басым
successfully,сәтті
lemon,лимон
hungry,аш
sense,сезім
dry,құрғақ
wander,кезу
submit,ұсынуға
naked,жалаңаш
anticipate,болжау
nut,жаңғақ
legacy,мұра
extension,кеңейту
shrug,иық көтеру
fly,шыбын
arrival,келу
legitimate,заңды
orientation,бағдар
inflation,инфляция
cope,жеңе
flame,жалын
cluster,кластерлік
host,хост
wound,жарақат
dependent,тәуелді
shower,душ
depict,бейнелеу
flesh,тән
operator,оператор
instructor,нұсқаушы
collapse,күйреу
borrow,қарызға алу
furthermore,сонымен қатар
comedy,комедия
mortgage,ипотека
civilian,азаматтық
weekly,апта сайын
habitat,тіршілік ортасы
grain,дән
brush,щетка
consciousness,сана
devote,арнау
crack,сызат
measurement,өлшем
ease,жеңілдік
seize,ұстау
permission,рұқсат
wise,дана
actress,актриса
acid,қышқыл
odds,соншалықты
gifted,дарынды
frustration,жабығу
medium,орта
function,функция
physically,физикалық
grant,грант
distinguish,айыру
shore,жаға
repeatedly,бірнеше рет
lung,өкпе
firm,қатты
running,жүгіру
correct,дұрыс
distinct,айқын
artistic,көркем
basket,кәрзеңке
fighting,жауынгерлік
impressive,әсерлі
competitor,бәсекелес
ugly,ұсқынсыз
worried,абыржыған
portray,бейнелеу
powder,ұнтақ
ghost,аруақ
persuade,сендіру
moderate,ұстамды
subsequent,кейінгі
continued,жалғастырды
cookie,піспенан
carrier,тасымалдаушы
cooking,пісіру
frequent,жиі
ban,тыйым салу
swing,тербелу
awful,қорқынышты
admire,сүйсіну
pet,үй жануары
miracle,керемет
exceed,асу
rhythm,ырғақ
widespread,кең таралған
killing,өлтіру
lovely,сүйкімді
sin,күнә
charity,қайырымдылық
script,сценарий
identification,сәйкестендіру
transformation,түрлендіру
everyday,күн сайын
headline,тақырып
venture,кәсіпорын
invasion,басып кіру
military,әскери
nonetheless,cоған қарамастан
adequate,барабар
piano,пианино
grocery,азық-түлік
intensity,қарқындылық
exhibit,экспонат
high,биік
blanket,көрпе
margin,маржа
principal,басты
mouse,тышқан
rope,арқан
concrete,бетон
prescription,рецепт
chase,қуу
document,құжат
brick,кірпіш
recruit,жаңа шақырылған
patch,жамау
horror,қорқыныш
recording,жазба
changing,өзгерту
painter,суретші
hay,пішен
gaze,қадалған көзқарас
courage,батылдық
pregnancy,жүктілік
swear,ұрысу
defeat,жеңіліс
clue,кілт
reinforce,нығайту
win,жеңу
confusion,шатастыру
slice,тілім
occupation,кәсіп
dear,құрметті
coal,көмір
sacred,қасиетті
criminal,қылмыскер
cognitive,танымдық
collective,ұжымдық
exact,дәл
uncle,аға
square,шаршы
captain,капитан
sigh,вздох
attribute,атрибут
dare,батылы
homeless,үйсіз
cool,салқын
gallery,галерея
soccer,футбол
defendant,жауапкер
lap,тізе
grave,мола
toe,бақай
container,контейнер
virtue,ізгілік
abroad,шетелде
architect,сәулетші
dramatically,күрт
makeup,татуласу
inquiry,сұрақ
surprisingly,таңқаларлық
highlight,бөлектеу
decrease,азаю
indication,нұсқау
rail,рельс
anniversary,жылдық
couch,кушетка
alliance,одақ
hypothesis,гипотеза
boyfriend,дос
compose,құрайды
peer,үңілу
mess,беспорядок
rank,дәреже
legend,аңыз
regulate,реттеу
adolescent,жасөспірім
shine,жылтыр
upset,ренішті
remark,ескерту
resign,бас тарту
reward,сыйақы
gentle,жұмсақ
related,байланысты
lightly,жеңіл-желпі
concerning,туралы
invent,ойлап табу
laughter,күлкі
fit,қиыстыру
counseling,кеңес беру
tight,тығыз
receiver,қабылдағыш
ritual,салттық
insect,жәндік
interrupt,сөзін үзу
salmon,ақсерке
trading,сауда-саттық
concern,қамқорлық
magic,сиқыр
superior,жоғары
combat,ұрыс
stem,сабақ
surgeon,хирург
acceptable,жарамды
physics,физика
rape,зорлау
counsel,кеңес
brush,щетка
hunt,аңшылық
continuous,үздіксіз
log,журнал
echo,жаңғырық
pill,пилюля
excited,толқыған
sculpture,скульптура
compound,күрделі
integrate,бірігу
flour,ұн
bitter,ащы
bare,жалаңаш
slope,баурайы
rent,жалға алу
subtle,нәзік
greatly,айтарлықтай
bishop,епископ
drinking,ауыз
delay,кешіктіру
cry,жылау
acceptance,қабылдап алу
shop,дүкен
pump,насос
candy,тәтті тағамдар
evil,жауыз
final,соңғы
finance,қаржы
pleased,риза
medal,медаль
beg,қайыр сұрау
sponsor,демеуші
ethical,этикалық
secondary,орта
slam,қол шапалақтау
export,экспорт
melt,жібу
midnight,түн ортасы
curve,қисық
integrity,бүтіндік
entitle,атау
evident,айқын
logic,логика
essence,мән
exclude,шығару
harsh,ауыр
closet,қабырға шкафы
suburban,қала маңындағы
greet,амандасу
favor,сыпайылық
interior,интерьер
murder,өлтіру
retail,бөлшек сауда
pitcher,құмыра
march,наурыз
snake,жылан
excuse,ақтау
cross,крест
weakness,әлсіздік
pig,шошқа
cold,суық
estimated,бағалау
T-shirt,Футболка
online,желіде
unemployment,жұмыссыздық
civilization,өркениет
fold,жию
patient,пациент
daily,күн сайын
reverse,кері
missing,жоқ болу
correlation,к арақатынастылық
humanity,адамзат
flash,жарқыл
developer,әзірлеуші
reliable,сенімді
excitement,қозу
beef,сиыр еті
stretch,созу
architecture,сәулет
occasional,кездейсоқ
administrative,әкімшілік
elbow,шынтақ
deadly,өлтіретін
allegation,бекіту
tip,кеңес
confuse,шатастыру
airplane,ұшақ
monthly,ай сайын
duck,үйрек
dose,доза
plead,сілтеме жасау
initiate,бастамашылық
lecture,лекция
van,фургон
bay,шығанақ
mainstream,негізгі
suburb,қаланың шеті
sandwich,бутерброд
unlike,ұқсас емес
trunk,сандық
rumor,сыбыс
implementation,іске асыру
swallow,жұту
motivate,түрткі болу
render,көрсету
longtime,ұзақ уақыт
trap,тұзақ
restrict,шектеу
cloth,мата
legislative,заңнамалық
enforce,мәжбүрлеу
lens,линза
reach,жету
inspector,инспектор
lend,қарыз беру
plain,анық
fraud,алдау
companion,жолдас
contend,мазмұны
nail,шеге
array,массив
strict,қатал
assemble,жиналу
frankly,шынын айтқанда
rat,егеуқұйрық
burst,жарылыс
hallway,кіреберіс
cave,үңгір
inevitable,шарасыз
southwest,шығысы
monster,құбыжық
speed,жылдамдық
protest,наразылық
unexpected,күтпеген
obstacle,тосқауыл
facilitate,жеңілдету
encounter,кездесу
herb,шөп
overwhelming,басым
recession,тереңдеу
wish,тілек
written,жазбаша
motive,себеп
label,заттаңба
flood,тасқын
pen,қалам
ownership,меншік
nightmare,бастығырылу
notice,ескерту
inspection,тексеру
supervisor,жетекшісі
consult,кеңесу
arena,арена
laugh,күлкі
diagnosis,диагноз
possession,ие болу
forgive,кешіру
warm,жылы
consistently,дәйекті
basement,төле
project,жоба
drift,дрейф
drain,құрғату
last,соңғы
prosecution,айыптау
announcement,хабарландыру
warrior,жауынгер
prediction,болжау
questionnaire,сауалнама
mud,балшық
hurry,асығу
privilege,артықшылық
temple,храм
medium,орта
outdoor,ашық
broadcast,хабар
leap,секіру
random,кездейсоқ
past,өткен
wrist,білек
curtain,перде
monitor,монитор
pond,тоған
domain,домен
guilt,айып
cattle,мал
subject,пән
walking,жаяу
skirt,юбка
dump,қоқыс орны
hence,демек
database,дерекқор
uncomfortable,ыңғайсыз
aim,мақсаты
execute,орындау
limb,аяқ-қол
ideology,идеология
average,орташа
tune,әуен
continuing,жалғастыру
harm,зиян
railroad,темір жол
endure,төтеп
horn,мүйз
chronic,созылмалы
peaceful,бейбіт
innovation,жаңалық
strain,штамм
guitar,гитара
replacement,ауыстыру
behave,өзін өзі ұстау
administer,басқару
simultaneously,бір мезгілде
dancer,биші
amendment,түзету
guard,күзетші
pad,жастық
await,күту
retired,жұмыстан мүлдем босаған
spill,төгу
grateful,риза
grace,әсемдік
virtual,виртуалды
response,жауап
colony,отар
adoption,асырап алу
slide,сырғанау
indigenous,байырғы
closed,жабық
convict,сотталған
towel,орамал
modify,түрлендіру
particle,бөлшек
award,марапаттау
glance,көз тастау
prize,жүлде
landing,қону
conduct,мінез-құлық
blue,көк
boost,ұлғайту
bat,жарғанат
alarm,дабыл
festival,мереке
grip,қысу
weird,түсініксіз
undermine,бұзу
sweat,тер
outer,сыртқы
drunk,мас
survey,тексеру
research,зерттеу
separation,бөліну
traditionally,дәстүрлі
stuff,материал
govern,басқару
southeast,шығысы
intelligent,ақылды
wherever,қай жерде
ballot,дауыс беру
rhetoric,риторика
convinced,сенімдіміз
driving,жүргізуші
accommodate,орналастыру
praise,мақтау
injure,зиян келтіру
wilderness,шөл
nearby,жақын
endless,шексіз
mandate,мандаты
pause,кідірту
excuse,ақтау
respectively,тиісінше
uncertainty,белгісіздік
chaos,былық
short,қысқа
canvas,кенеп
matter,мәселе
lobby,вестибюль
profound,терең
format,формат
trait,сызық
currency,валюта
beam,бөрене
abuse,теріс
astronomer,астрономы
corruption,жемқорлық
contractor,мердігер
apologize,кешірім сұрау
doctrine,ілім
genuine,түпнұсқа
thumb,бас бармақ
unity,бірлік
compromise,ымыраға келу
horrible,қорқынышты
behavioral,мінез-құлық
exclusive,ерекше
scatter,шашылу
commonly,әдетте
convey,тасымалдау
rush,асығу
twist,бұрау
complexity,күрделілігі
fork,шанышқы
disk,диск
relieve,босату
suspicion,күдік
lock,құлыптау
finish,мәре
residence,тұру
shame,ұят
meaningful,маңызды
sidewalk,тротуар
signature,қол
pleasant,жағымды
suspend,тоқтата тұру
rebel,көтерілісші
frozen,мұздатылған
desire,тілек
spouse,жұбай
fluid,сұйық
pension,зейнетақы
resume,түйіндеме
sodium,натрий
blow,үрлеу
promotion,жарнама
delicate,сыпайы
forehead,маңдай
rebuild,қайта салу
bounce,секіру
hook,ілгек
traveler,саяхатшы
click,басу
compensation,өтемақы
signal,сигнал
exit,шығу
attraction,тартымдылық
dedicate,арнау
altogether,мүлде
pickup,алу
carve,кесу
needle,ине
belly,іш
ship,кеме
scare,қорқыту
portfolio,портфелі
shuttle,автобусы
invisible,көзге көрінбейтін
engagement,атастыру
ankle,жіліншік
transaction,мәміле
rescue,құтқару
historically,тарихи
firmly,берік
mild,жұмсақ
rider,шабандозы
doll,қуыршақ
noon,талтүс
identical,бірдей
precise,дәл
anxious,мазасыз
structural,құрылымдық
residential,тұрғылықты
loud,қатты
diagnose,диагноз қою
carbohydrate,көмірсулар
liberty,бостандық
poster,афиша
nonprofit,коммерциялық емес
crawl,жорғалау
oxygen,оттегі
handsome,әдемі
magic,сиқыр
sum,сома
provided,қамтамасыз
businessman,бизнесмен
promising,перспективалы
conscious,саналы
determination,анықтау
hers,оған тиесілі
bite,тістеу
frame,рама
evil,жауыз
acquisition,алу
pit,шұңқыр
hug,құшақ
wildlife,табиғат
punish,жазалау
giant,алып
primary,негізгі
equity,үлестік
wrong,қате
doorway,ойықтарына
departure,кету
elevator,жеделсаты
teenage,жасөспірім
guidance,нұсқау
happiness,бақыт
statue,ескерткіш
pursuit,қудалау
repair,жөндеу
decent,лайықты
gym,спорт зал
oral,ауызша
clerk,қызметкер
envelope,конверт
reporting,есеп
destination,тағайындалған орын
fist,жұдырық
endorse,қолдау
exploration,зерттеу
generous,жомарт
bath,ванна
rescue,құтқару
overall,жалпы
indicator,көрсеткіш
sunlight,күн сәулесі
feedback,кері байланыс
purple,күлгін
laser,лазерлік
bold,батыл
reluctant,зауықсыз
starting,бастап
expertise,сараптама
practically,іс жүзінде
program,бағдарлама
picture,сурет
tune,әуен
eating,тамақтану
age,жас
hint,тұспал
sharply,күрт
parade,шеру
realm,аймақ
strip,жолақ
cancel,болдырмау
blend,араластыру
slice,тілім
peel,қабық
recipient,алушы
hesitate,күдіктену
flip,аударылып түсу
accounting,бухгалтерлік есеп
bias,тартылысы
huh,иә
metaphor,метафора
candle,шырақ
handle,тұтқа
worry,тынышсыздық
judicial,сот
entity,кәсіпорын
suffering,ауыратын
full-time,толық уақыт
feel,сезу
lamp,шам
garbage,қоқыс
servant,қызметші
addition,қосу
regulatory, реттеуші
elegant,сырбаз
inside,ішінде
reception,қабылдау
vanish,жоғалып кету
automatically,автоматты түрде
chin,иек
trail,соқпақ
necessity,қажеттілік
confess,мойындау
racism,нәсілшілдік
interior,интерьер
casual,әдеттегі
gravity,ауырлық күші
enroll,жазылу
diminish,азайту
prevention,болдырмау
value,құн
minimize,азайту
chop,шабу
performer,орындаушы
intent,ниет
isolate,оқшаулау
pump,насос
inventory,түгендеу
productive,өнімді
assembly,жиналыс
civic,азаматтық
silk,жібек
steep,тік
